time,open,high,low,close,volume,symbol
2021-01-04 07:00:00,9.24,9.33,9.22,9.27,10776300,ACB
2021-01-05 07:00:00,9.25,9.58,9.16,9.49,18693900,ACB
2021-01-06 07:00:00,9.61,9.9,9.48,9.67,15883900,ACB
2021-01-07 07:00:00,9.67,9.71,9.58,9.67,11636100,ACB
2021-01-08 07:00:00,9.69,9.84,9.64,9.77,15519300,ACB
2021-01-11 07:00:00,9.87,10.0,9.75,9.82,9821800,ACB
2021-01-12 07:00:00,9.79,9.8,9.69,9.74,9277600,ACB
2021-01-13 07:00:00,9.8,9.82,9.61,9.66,9915300,ACB
2021-01-14 07:00:00,9.67,9.67,9.45,9.66,8491200,ACB
2021-01-15 07:00:00,9.71,9.84,9.69,9.79,8184100,ACB
2021-01-18 07:00:00,9.82,9.87,9.67,9.69,8419100,ACB
2021-01-19 07:00:00,9.64,9.67,9.03,9.03,13077400,ACB
2021-01-20 07:00:00,9.06,9.16,8.51,9.16,12323000,ACB
2021-01-21 07:00:00,9.32,9.41,9.17,9.37,6535000,ACB
2021-01-22 07:00:00,9.35,9.41,9.22,9.27,5438100,ACB
2021-01-25 07:00:00,9.16,9.22,9.07,9.09,7683600,ACB
2021-01-26 07:00:00,9.07,9.27,8.9,8.99,8096200,ACB
2021-01-27 07:00:00,8.99,9.17,8.8,8.9,6387700,ACB
2021-01-28 07:00:00,8.41,8.64,8.28,8.28,15154800,ACB
2021-01-29 07:00:00,7.93,8.7,7.93,8.67,7621200,ACB
2021-02-01 07:00:00,8.67,8.86,8.51,8.62,7528200,ACB
2021-02-02 07:00:00,8.62,8.86,8.52,8.85,6544600,ACB
2021-02-03 07:00:00,8.85,9.12,8.8,9.09,7054500,ACB
2021-02-04 07:00:00,9.09,9.12,8.99,9.12,4250800,ACB
2021-02-05 07:00:00,9.12,9.27,9.11,9.22,5610600,ACB
2021-02-08 07:00:00,9.22,9.3,8.8,8.9,5755400,ACB
2021-02-09 07:00:00,8.9,9.24,8.83,9.24,5954800,ACB
2021-02-17 07:00:00,9.32,9.54,9.28,9.51,6855800,ACB
2021-02-18 07:00:00,9.51,9.53,9.32,9.43,5547900,ACB
2021-02-19 07:00:00,9.38,10.08,9.35,10.06,31184200,ACB
2021-02-22 07:00:00,10.19,10.42,10.06,10.22,12587300,ACB
2021-02-23 07:00:00,10.3,10.43,10.18,10.26,13951000,ACB
2021-02-24 07:00:00,10.24,10.3,10.03,10.09,18685200,ACB
2021-02-25 07:00:00,10.19,10.5,10.06,10.48,15014200,ACB
2021-02-26 07:00:00,10.32,10.79,10.32,10.69,13071400,ACB
2021-03-01 07:00:00,10.81,10.82,10.64,10.76,8464900,ACB
2021-03-02 07:00:00,10.81,10.82,10.61,10.68,9574100,ACB
2021-03-03 07:00:00,10.64,10.82,10.58,10.76,9072300,ACB
2021-03-04 07:00:00,10.81,10.81,10.37,10.48,9814000,ACB
2021-03-05 07:00:00,10.38,10.55,10.22,10.5,10157000,ACB
2021-03-08 07:00:00,10.51,10.58,10.21,10.29,16047000,ACB
2021-03-09 07:00:00,10.19,10.45,10.06,10.37,8819900,ACB
2021-03-10 07:00:00,10.38,10.74,10.32,10.6,12152700,ACB
2021-03-11 07:00:00,10.68,10.71,10.6,10.68,7124300,ACB
2021-03-12 07:00:00,10.68,10.69,10.56,10.66,5195500,ACB
2021-03-15 07:00:00,10.68,10.95,10.55,10.84,18052500,ACB
2021-03-16 07:00:00,10.81,10.9,10.69,10.82,6112900,ACB
2021-03-17 07:00:00,10.82,10.85,10.74,10.84,6246400,ACB
2021-03-18 07:00:00,10.97,11.08,10.84,10.98,10281900,ACB
2021-03-19 07:00:00,10.98,11.06,10.9,10.94,7108900,ACB
2021-03-22 07:00:00,11.02,11.03,10.79,10.81,8706000,ACB
2021-03-23 07:00:00,10.85,10.85,10.61,10.68,10347000,ACB
2021-03-24 07:00:00,10.48,10.6,10.37,10.5,9941600,ACB
2021-03-25 07:00:00,10.5,10.55,10.32,10.37,8322000,ACB
2021-03-26 07:00:00,10.35,10.5,10.14,10.5,7931700,ACB
2021-03-29 07:00:00,10.64,10.71,10.48,10.68,6981300,ACB
2021-03-30 07:00:00,10.71,10.84,10.6,10.77,8053200,ACB
2021-03-31 07:00:00,10.84,10.94,10.76,10.77,4986100,ACB
2021-04-01 07:00:00,10.82,10.95,10.77,10.95,10439300,ACB
2021-04-02 07:00:00,11.06,11.32,11.0,11.21,13979400,ACB
2021-04-05 07:00:00,11.42,11.42,11.19,11.24,7433500,ACB
2021-04-06 07:00:00,11.23,11.31,11.05,11.24,7565000,ACB
2021-04-07 07:00:00,11.16,11.23,11.1,11.13,6400900,ACB
2021-04-08 07:00:00,11.11,11.23,11.06,11.13,4687900,ACB
2021-04-09 07:00:00,11.1,11.19,11.06,11.13,5401500,ACB
2021-04-12 07:00:00,11.19,11.39,11.14,11.37,12513500,ACB
2021-04-13 07:00:00,11.44,11.48,11.13,11.19,8736000,ACB
2021-04-14 07:00:00,11.1,11.24,11.05,11.19,5073300,ACB
2021-04-15 07:00:00,11.21,11.23,10.94,10.95,9686700,ACB
2021-04-16 07:00:00,10.94,11.02,10.58,10.71,8403400,ACB
2021-04-19 07:00:00,10.84,10.92,10.61,10.9,4291900,ACB
2021-04-20 07:00:00,11.0,11.13,10.74,10.87,7166900,ACB
2021-04-22 07:00:00,10.81,10.87,10.51,10.51,7843500,ACB
2021-04-23 07:00:00,10.48,10.82,10.38,10.81,6687700,ACB
2021-04-26 07:00:00,10.81,10.81,10.55,10.77,7119100,ACB
2021-04-27 07:00:00,10.68,11.0,10.56,11.0,6393000,ACB
2021-04-28 07:00:00,10.84,11.1,10.81,10.94,5675200,ACB
2021-04-29 07:00:00,10.94,11.21,10.87,11.21,16646300,ACB
2021-05-04 07:00:00,11.0,11.24,10.84,11.14,9333200,ACB
2021-05-05 07:00:00,11.19,11.6,11.19,11.42,17558400,ACB
2021-05-06 07:00:00,11.42,11.44,11.21,11.26,7783800,ACB
2021-05-07 07:00:00,11.16,11.45,11.16,11.39,12059100,ACB
2021-05-10 07:00:00,11.39,11.76,11.39,11.71,13491300,ACB
2021-05-11 07:00:00,11.78,11.78,11.58,11.58,9777000,ACB
2021-05-12 07:00:00,11.5,11.7,11.45,11.7,8991300,ACB
2021-05-13 07:00:00,11.55,11.95,11.55,11.71,11724300,ACB
2021-05-14 07:00:00,11.78,11.87,11.66,11.79,6118400,ACB
2021-05-17 07:00:00,11.97,12.04,11.79,11.82,9278700,ACB
2021-05-18 07:00:00,11.84,11.84,11.61,11.73,7881100,ACB
2021-05-19 07:00:00,11.71,11.87,11.61,11.84,8143500,ACB
2021-05-20 07:00:00,11.84,12.13,11.84,12.1,12263200,ACB
2021-05-21 07:00:00,12.1,12.39,12.07,12.13,9146500,ACB
2021-05-24 07:00:00,12.24,12.24,12.05,12.13,7546600,ACB
2021-05-25 07:00:00,12.13,12.38,12.07,12.29,8757400,ACB
2021-05-26 07:00:00,12.31,12.5,12.31,12.44,9976000,ACB
2021-05-27 07:00:00,12.46,12.67,12.26,12.36,9551700,ACB
2021-05-28 07:00:00,12.36,12.58,12.31,12.58,9416000,ACB
2021-05-31 07:00:00,12.78,13.41,12.62,13.39,16030300,ACB
2021-06-01 07:00:00,13.75,13.88,13.59,13.62,11159800,ACB
2021-06-02 07:00:00,13.8,14.43,13.75,14.43,16009600,ACB
2021-06-03 07:00:00,14.98,14.98,14.43,14.85,12265700,ACB
2021-06-04 07:00:00,14.56,14.85,14.56,14.66,9488100,ACB
2021-06-07 07:00:00,14.53,14.53,13.67,13.91,18505000,ACB
2021-06-08 07:00:00,13.77,14.04,13.0,13.0,14322800,ACB
2021-06-09 07:00:00,13.0,13.78,12.94,13.73,12565100,ACB
2021-06-10 07:00:00,13.96,14.3,13.79,13.79,14000300,ACB
2021-06-11 07:00:00,13.92,14.2,13.67,14.02,9532300,ACB
2021-06-14 07:00:00,14.02,14.12,13.69,13.79,10946100,ACB
2021-06-15 07:00:00,13.79,14.64,13.55,14.3,18178200,ACB
2021-06-16 07:00:00,14.3,14.34,13.96,14.04,8211200,ACB
2021-06-17 07:00:00,13.75,14.16,13.63,14.12,6392600,ACB
2021-06-18 07:00:00,14.24,14.36,14.12,14.16,9215200,ACB
2021-06-21 07:00:00,14.12,14.24,14.02,14.06,5447600,ACB
2021-06-22 07:00:00,14.24,14.56,14.1,14.42,14872000,ACB
2021-06-23 07:00:00,14.52,14.72,14.44,14.48,10244600,ACB
2021-06-24 07:00:00,14.56,14.74,14.4,14.64,11494200,ACB
2021-06-25 07:00:00,14.64,14.8,14.58,14.7,7934000,ACB
2021-06-28 07:00:00,14.85,14.89,14.68,14.85,7937700,ACB
2021-06-29 07:00:00,14.93,14.95,14.74,14.74,6677700,ACB
2021-06-30 07:00:00,14.72,14.76,14.4,14.44,9628000,ACB
2021-07-01 07:00:00,14.38,14.64,14.2,14.54,10393200,ACB
2021-07-02 07:00:00,14.68,14.72,14.56,14.6,6407100,ACB
2021-07-05 07:00:00,14.68,15.41,14.52,15.35,16668600,ACB
2021-07-06 07:00:00,15.37,15.45,14.56,14.56,7653200,ACB
2021-07-07 07:00:00,14.56,14.93,14.2,14.78,10121600,ACB
2021-07-08 07:00:00,14.78,15.05,14.56,14.64,7351900,ACB
2021-07-09 07:00:00,14.56,14.8,13.75,14.24,11315400,ACB
2021-07-12 07:00:00,13.96,14.06,13.25,13.25,18353700,ACB
2021-07-13 07:00:00,13.47,13.47,13.07,13.31,6672200,ACB
2021-07-14 07:00:00,13.31,13.35,12.58,12.84,10810500,ACB
2021-07-15 07:00:00,12.7,13.33,12.68,13.25,5095400,ACB
2021-07-16 07:00:00,13.41,13.59,13.27,13.59,5918800,ACB
2021-07-19 07:00:00,13.31,13.41,12.92,13.0,10019200,ACB
2021-07-20 07:00:00,13.15,13.71,12.94,13.71,8563400,ACB
2021-07-21 07:00:00,13.77,13.96,13.65,13.67,8179300,ACB
2021-07-22 07:00:00,13.67,13.92,13.43,13.79,7161900,ACB
2021-07-23 07:00:00,13.71,13.81,13.35,13.35,7433000,ACB
2021-07-26 07:00:00,13.19,13.39,12.96,13.23,7528400,ACB
2021-07-27 07:00:00,13.37,13.55,13.35,13.41,5634700,ACB
2021-07-28 07:00:00,13.43,13.59,13.37,13.41,4846400,ACB
2021-07-29 07:00:00,13.53,13.84,13.47,13.81,7638000,ACB
2021-07-30 07:00:00,13.88,14.62,13.88,14.62,35156000,ACB
2021-08-02 07:00:00,14.36,14.56,14.3,14.38,8646400,ACB
2021-08-03 07:00:00,14.34,14.48,14.16,14.48,8766300,ACB
2021-08-04 07:00:00,14.56,14.56,14.28,14.36,8466500,ACB
2021-08-05 07:00:00,14.3,14.6,14.28,14.56,13787200,ACB
2021-08-06 07:00:00,14.6,14.62,14.34,14.38,8620800,ACB
2021-08-09 07:00:00,14.32,14.91,14.22,14.76,19240200,ACB
2021-08-10 07:00:00,14.89,14.91,14.64,14.76,10457700,ACB
2021-08-11 07:00:00,14.76,14.87,14.56,14.56,16492300,ACB
2021-08-12 07:00:00,14.48,14.56,14.28,14.28,12147100,ACB
2021-08-13 07:00:00,14.24,14.34,13.88,14.3,15125200,ACB
2021-08-16 07:00:00,14.3,14.56,14.08,14.44,12056700,ACB
2021-08-17 07:00:00,14.56,14.64,14.32,14.4,8743100,ACB
2021-08-18 07:00:00,14.34,14.48,14.28,14.38,7096100,ACB
2021-08-19 07:00:00,14.36,14.38,14.14,14.28,9370500,ACB
2021-08-20 07:00:00,14.28,14.3,13.37,13.59,20952900,ACB
2021-08-23 07:00:00,13.55,13.59,12.94,12.94,15602700,ACB
2021-08-24 07:00:00,12.94,13.15,12.82,13.07,9084200,ACB
2021-08-25 07:00:00,13.02,13.15,12.9,13.13,4865700,ACB
2021-08-26 07:00:00,13.17,13.19,12.86,12.92,4944800,ACB
2021-08-27 07:00:00,12.82,12.88,12.46,12.84,8069600,ACB
2021-08-30 07:00:00,12.86,13.11,12.78,13.0,8029600,ACB
2021-08-31 07:00:00,13.15,13.19,12.94,12.94,5528600,ACB
2021-09-01 07:00:00,12.94,13.25,12.92,12.94,8715300,ACB
2021-09-06 07:00:00,13.02,13.07,12.92,12.96,7383200,ACB
2021-09-07 07:00:00,13.11,13.25,13.02,13.15,7963700,ACB
2021-09-08 07:00:00,13.15,13.25,12.98,13.0,4752900,ACB
2021-09-09 07:00:00,12.94,13.13,12.92,13.13,3431900,ACB
2021-09-10 07:00:00,13.15,13.17,13.05,13.07,4101100,ACB
2021-09-13 07:00:00,13.07,13.07,12.9,12.9,5199800,ACB
2021-09-14 07:00:00,12.88,12.94,12.74,12.74,4511400,ACB
2021-09-15 07:00:00,12.74,12.74,12.6,12.62,4979200,ACB
2021-09-16 07:00:00,12.64,12.76,12.62,12.66,3455500,ACB
2021-09-17 07:00:00,12.78,12.86,12.68,12.78,4572300,ACB
2021-09-20 07:00:00,12.94,13.07,12.88,12.98,6387800,ACB
2021-09-21 07:00:00,12.86,12.94,12.72,12.86,3882100,ACB
2021-09-22 07:00:00,12.86,12.94,12.78,12.78,2681700,ACB
2021-09-23 07:00:00,12.82,12.86,12.74,12.78,4210800,ACB
2021-09-24 07:00:00,12.86,13.0,12.78,12.94,6688700,ACB
2021-09-27 07:00:00,13.02,13.11,12.74,12.74,4801300,ACB
2021-09-28 07:00:00,12.74,12.84,12.7,12.78,2517400,ACB
2021-09-29 07:00:00,12.78,12.82,12.6,12.68,3615100,ACB
2021-09-30 07:00:00,12.68,12.78,12.66,12.76,4394800,ACB
2021-10-01 07:00:00,12.74,12.76,12.58,12.74,6441900,ACB
2021-10-04 07:00:00,12.66,12.7,12.38,12.54,5659000,ACB
2021-10-05 07:00:00,12.54,12.74,12.54,12.74,2912300,ACB
2021-10-06 07:00:00,12.76,12.8,12.58,12.68,3321300,ACB
2021-10-07 07:00:00,12.74,12.74,12.62,12.62,2161800,ACB
2021-10-08 07:00:00,12.7,12.76,12.64,12.72,3480900,ACB
2021-10-11 07:00:00,12.78,13.19,12.78,13.19,6684100,ACB
2021-10-12 07:00:00,13.31,13.31,13.11,13.19,3385300,ACB
2021-10-13 07:00:00,13.19,13.31,13.15,13.19,3709300,ACB
2021-10-14 07:00:00,13.19,13.23,13.02,13.07,4521600,ACB
2021-10-15 07:00:00,13.15,13.17,12.98,13.02,2976800,ACB
2021-10-18 07:00:00,13.09,13.19,12.94,12.94,4543400,ACB
2021-10-19 07:00:00,13.11,13.11,12.9,13.07,3615400,ACB
2021-10-20 07:00:00,13.07,13.21,12.86,13.07,3846400,ACB
2021-10-21 07:00:00,13.07,13.07,12.84,12.84,4132200,ACB
2021-10-22 07:00:00,12.9,12.92,12.72,12.78,3827100,ACB
2021-10-25 07:00:00,12.82,12.82,12.58,12.64,5200400,ACB
2021-10-26 07:00:00,12.64,12.64,12.46,12.58,5259100,ACB
2021-10-27 07:00:00,12.6,12.86,12.6,12.7,5828200,ACB
2021-10-28 07:00:00,12.8,12.88,12.74,12.88,4649100,ACB
2021-10-29 07:00:00,12.88,13.35,12.84,13.35,13597100,ACB
2021-11-01 07:00:00,13.27,13.31,13.11,13.23,5293300,ACB
2021-11-02 07:00:00,13.23,13.41,13.17,13.41,7009200,ACB
2021-11-03 07:00:00,13.47,13.79,13.45,13.69,13060100,ACB
2021-11-04 07:00:00,13.77,13.77,13.53,13.55,4197400,ACB
2021-11-05 07:00:00,13.67,13.67,13.47,13.55,3967400,ACB
2021-11-08 07:00:00,13.55,13.61,13.43,13.51,5385300,ACB
2021-11-09 07:00:00,13.51,13.67,13.49,13.53,5047900,ACB
2021-11-10 07:00:00,13.55,13.57,13.41,13.51,4367400,ACB
2021-11-11 07:00:00,13.47,13.57,13.15,13.35,7129400,ACB
2021-11-12 07:00:00,13.35,13.49,13.21,13.49,4376100,ACB
2021-11-15 07:00:00,13.51,13.59,13.45,13.51,4878900,ACB
2021-11-16 07:00:00,13.49,13.51,13.27,13.41,5211500,ACB
2021-11-17 07:00:00,13.41,13.55,13.27,13.47,4360500,ACB
2021-11-18 07:00:00,13.55,13.55,13.15,13.15,5497600,ACB
2021-11-19 07:00:00,13.23,13.71,13.17,13.53,9794000,ACB
2021-11-22 07:00:00,13.55,14.08,13.35,13.81,9151000,ACB
2021-11-23 07:00:00,13.86,13.88,13.63,13.73,3839600,ACB
2021-11-24 07:00:00,13.71,14.34,13.65,14.3,14295800,ACB
2021-11-25 07:00:00,14.36,14.38,14.14,14.22,7083400,ACB
2021-11-26 07:00:00,14.22,14.28,14.0,14.0,6209000,ACB
2021-11-29 07:00:00,13.67,13.88,13.67,13.81,6095500,ACB
2021-11-30 07:00:00,13.92,13.96,13.43,13.47,6145400,ACB
2021-12-01 07:00:00,13.39,13.55,13.37,13.55,3620400,ACB
2021-12-02 07:00:00,13.59,13.59,13.43,13.43,2645000,ACB
2021-12-03 07:00:00,13.51,13.57,13.17,13.17,4916300,ACB
2021-12-06 07:00:00,13.07,13.27,12.8,13.07,6499000,ACB
2021-12-07 07:00:00,13.15,13.33,12.98,13.33,2827600,ACB
2021-12-08 07:00:00,13.21,13.51,13.17,13.39,2900500,ACB
2021-12-09 07:00:00,13.35,13.47,13.27,13.47,2156000,ACB
2021-12-10 07:00:00,13.43,13.59,13.39,13.51,4730500,ACB
2021-12-13 07:00:00,13.57,13.67,13.47,13.51,3012700,ACB
